answer_type,call_bucket,call_count,depth,distractor_count,distractor_hardness,generation_cell,graph_template_id,motif,offered_tool_count,paraphrase_status,reference_density,sample_id,semantic_program_family,source,target_failure_mode,target_skill,topology_hash,track
string,4,4,3,6,0.0292,G_4call_fan_in_variable_pla_00,gt_4ca8d1211263,fan_in,10,unknown,0.375,ttdf_945346f2dc33,pf_924d76ac9999,train300,too_few_calls,variable_planning,topo_bd3dd51ec1a9,G
float,6+,6,3,12,0.0615,A_6pcall_branch_aggregate_tool_catalog_00,gt_d8268a3dfd4e,branch_aggregate,18,unknown,0.454545,ttdf_3bbe27d74a4e,pf_f2e9584c974d,train300,distractor_confusion,tool_catalog_search,topo_00ac72c33abd,A
float,3,3,2,8,0.0255,A_3call_fan_in_variable_pla_00,gt_cb9ed77a2f5f,fan_in,11,unknown,0.4,ttdf_a27ee767b260,pf_0e002256fb2a,train300,too_few_calls,variable_planning,topo_911586a55488,A
float,6+,6,5,5,0.049,G_6pcall_fan_in_long_horizon_00,gt_3eb290d11184,fan_in,11,unknown,0.5,ttdf_1316b84679bc,pf_2f804cc65d8d,train300,premature_stop,long_horizon_planning,topo_33e36888cf10,G
float,6+,6,5,4,0.0194,G_6pcall_fan_in_long_horizon_00,gt_2b0ad79ae020,fan_in,10,unknown,0.5,ttdf_fc21110cb919,pf_40b0425de782,train300,premature_stop,long_horizon_planning,topo_33e36888cf10,G
float,2,2,2,7,0.0,G_2call_linear_continuation_03,gt_29243c224d3b,linear,9,unknown,0.333333,ttdf_490928952434,pf_d8904dbe087a,train300,wrong_second_tool_after_correct_prefix,continuation_after_observation,topo_fdeb50f24873,G
float,2,2,2,12,0.0,A_2call_linear_tool_catalog_02,gt_84f219ac023d,linear,14,unknown,0.333333,ttdf_cfcc0bc5aede,pf_b68927c61851,train300,distractor_confusion,tool_catalog_search,topo_fdeb50f24873,A
int,6+,6,6,3,0.0467,A_6pcall_linear_long_horizon_00,gt_3ed5d7ce794c,linear,9,unknown,0.5,ttdf_918a1b8e247c,pf_837ca42db573,train300,premature_stop,long_horizon_planning,topo_02b29308ce2b,A
float,4,4,3,8,0.0693,A_4call_fan_in_variable_pla_00,gt_faf8699f7507,fan_in,12,unknown,0.428571,ttdf_9ab3dd3108dd,pf_91ea568f107c,train300,too_few_calls,variable_planning,topo_30980484d6d7,A
float,3,3,2,9,0.0259,G_3call_fan_in_variable_pla_00,gt_cb9ed77a2f5f,fan_in,12,unknown,0.4,ttdf_ca94c57fb5b6,pf_6877fcf8f670,train300,too_few_calls,variable_planning,topo_911586a55488,G
float,4,4,4,4,0.0,A_4call_linear_variable_pla_00,gt_143dd1368788,linear,8,unknown,0.5,ttdf_4536494ea7cc,pf_20f5b3ece8bd,train300,too_few_calls,variable_planning,topo_5296967693d8,A
list,3,3,3,6,0.0292,A_3call_linear_variable_pla_00,gt_55ebfde00b33,linear,9,unknown,0.285714,ttdf_3bb23ee2abb5,pf_3d6f248672fb,train300,too_few_calls,variable_planning,topo_1c8dbe1830b2,A
float,6+,6,6,3,0.0292,G_6pcall_linear_long_horizon_00,gt_3530671ddead,linear,9,unknown,0.454545,ttdf_2069d281661f,pf_56a21f65eb73,train300,premature_stop,long_horizon_planning,topo_02b29308ce2b,G
float,6+,7,6,2,0.0233,A_6pcall_fan_in_tool_catalog_02,gt_08df3ef2422e,fan_in,9,unknown,0.461538,ttdf_2fe2055ebf7a,pf_9ee2532d3cf9,train300,distractor_confusion,tool_catalog_search,topo_4a07cdfdb909,A
float,3,3,2,9,0.0385,A_3call_fan_in_variable_pla_00,gt_3b4ee6d4b07f,fan_in,12,unknown,0.333333,ttdf_e9eafc0422f4,pf_9100910d0a43,train300,too_few_calls,variable_planning,topo_911586a55488,A
float,6+,7,5,8,0.0272,G_6pcall_fan_in_tool_catalog_01,gt_3827a759e4f6,fan_in,15,unknown,0.5,ttdf_5aa8cec97f8c,pf_4b5597912c58,train300,distractor_confusion,tool_catalog_search,topo_9e01698159b0,G
bool,2,2,2,9,0.0175,A_2call_linear_continuation_01,gt_c3d71141b1a5,linear,11,unknown,0.25,ttdf_f54696c90839,pf_bc67948b8641,train300,wrong_second_tool_after_correct_prefix,continuation_after_observation,topo_fdeb50f24873,A
float,2,2,2,6,0.0,G_2call_linear_continuation_03,gt_593776dcf098,linear,8,unknown,0.125,ttdf_1383b56ac315,pf_4d21ab9bce24,train300,wrong_second_tool_after_correct_prefix,continuation_after_observation,topo_fdeb50f24873,G
float,6+,6,4,4,0.0,A_6pcall_fan_in_long_horizon_00,gt_07e218fc5099,fan_in,10,unknown,0.5,ttdf_5ea97b9d2894,pf_6fa671bd0645,train300,premature_stop,long_horizon_planning,topo_5cf1a13edea8,A
float,6+,8,4,5,0.0311,A_6pcall_branch_aggregate_tool_catalog_00,gt_e79963d99805,branch_aggregate,13,unknown,0.4375,ttdf_c9965f79c448,pf_c3eca6464ac8,train300,distractor_confusion,tool_catalog_search,topo_5eeac3554b19,A
string,4,4,3,7,0.0,G_4call_fan_in_variable_pla_00,gt_1ae4a196c464,fan_in,11,unknown,0.5,ttdf_1691c4ac38d4,pf_d0358b0b21c1,train300,too_few_calls,variable_planning,topo_bd3dd51ec1a9,G
float,2,2,2,13,0.0292,A_2call_linear_tool_catalog_05,gt_84f219ac023d,linear,15,unknown,0.333333,ttdf_6ef88f415ec8,pf_c218401edf38,train300,distractor_confusion,tool_catalog_search,topo_fdeb50f24873,A
list,3,3,3,6,0.0262,A_3call_linear_variable_pla_00,gt_55ebfde00b33,linear,9,unknown,0.25,ttdf_1cc8cb9986f0,pf_c0743005dbee,train300,too_few_calls,variable_planning,topo_1c8dbe1830b2,A
float,2,2,2,11,0.0239,A_2call_linear_tool_catalog_02,gt_84f219ac023d,linear,13,unknown,0.333333,ttdf_76ae9ab480c4,pf_49e56790547e,train300,distractor_confusion,tool_catalog_search,topo_fdeb50f24873,A
string,4,4,3,7,0.055,G_4call_fan_in_variable_pla_00,gt_1c7a67f6f240,fan_in,11,unknown,0.428571,ttdf_0912a2d9b2db,pf_0b34f2dc8396,train300,too_few_calls,variable_planning,topo_bd3dd51ec1a9,G
list,3,3,3,6,0.0146,A_3call_linear_variable_pla_00,gt_55ebfde00b33,linear,9,unknown,0.222222,ttdf_05e5d3a5124e,pf_2460bc1baac9,train300,too_few_calls,variable_planning,topo_1c8dbe1830b2,A
string,5,5,4,6,0.0486,A_5call_fan_in_long_horizon_00,gt_90872a8d2737,fan_in,11,unknown,0.4,ttdf_1497a25303af,pf_216be04cc2ce,train300,premature_stop,long_horizon_planning,topo_7279e5f4b24a,A
float,6+,7,7,2,0.0622,G_6pcall_linear_long_horizon_00,gt_d31f2b006691,linear,9,unknown,0.461538,ttdf_e26fa047f4d8,pf_1080ddc7c297,train300,premature_stop,long_horizon_planning,topo_47316b07929b,G
float,2,2,2,12,0.0262,A_2call_linear_tool_catalog_05,gt_84f219ac023d,linear,14,unknown,0.333333,ttdf_9a9ce195b513,pf_c4cd5da4c49c,train300,distractor_confusion,tool_catalog_search,topo_fdeb50f24873,A
float,4,4,3,7,0.0263,A_4call_fan_in_variable_pla_00,gt_faf8699f7507,fan_in,11,unknown,0.428571,ttdf_7ad3b54cb7ef,pf_a70a409672e8,train300,too_few_calls,variable_planning,topo_30980484d6d7,A
float,2,2,2,10,0.0158,G_2call_linear_continuation_04,gt_593776dcf098,linear,12,unknown,0.142857,ttdf_14c55897ced2,pf_d72c7dc1ac75,train300,wrong_second_tool_after_correct_prefix,continuation_after_observation,topo_fdeb50f24873,G
float,5,5,5,4,0.0,G_5call_linear_long_horizon_00,gt_8bb2183cdfb4,linear,9,unknown,0.4,ttdf_36b57efe7392,pf_322230603188,train300,premature_stop,long_horizon_planning,topo_d228dd6db98a,G
float,4,4,3,7,0.0306,A_4call_fan_in_variable_pla_00,gt_683fbba89f9d,fan_in,11,unknown,0.5,ttdf_59367ab6b4d7,pf_b477d7e2436a,train300,too_few_calls,variable_planning,topo_30980484d6d7,A
float,5,5,4,6,0.0219,G_5call_fan_in_long_horizon_00,gt_3d96fc1f6b2f,fan_in,11,unknown,0.4,ttdf_42f2393a5eeb,pf_7d562b603f9a,train300,premature_stop,long_horizon_planning,topo_2b041b861492,G
int,6+,7,4,10,0.0525,G_6pcall_branch_aggregate_tool_catalog_00,gt_33d84c6f5db9,branch_aggregate,17,unknown,0.5,ttdf_31c2cfd49449,pf_47c021eb2d4f,train300,distractor_confusion,tool_catalog_search,topo_cff8eb87d925,G
float,3,3,3,5,0.07,G_3call_linear_variable_pla_00,gt_74ab08262949,linear,8,unknown,0.4,ttdf_65a3039cd6ed,pf_0b8d2cb08061,train300,too_few_calls,variable_planning,topo_1c8dbe1830b2,G
float,4,4,3,6,0.0117,A_4call_fan_in_variable_pla_00,gt_6da99fa42a54,fan_in,10,unknown,0.5,ttdf_3d662a8b3d5d,pf_49d05ae2f87f,train300,too_few_calls,variable_planning,topo_30980484d6d7,A
float,3,3,2,7,0.0,A_3call_fan_in_variable_pla_00,gt_3b4ee6d4b07f,fan_in,10,unknown,0.333333,ttdf_c6bcd1f43a83,pf_f2d5f89ce3e7,train300,too_few_calls,variable_planning,topo_911586a55488,A
int,6+,6,4,11,0.0549,G_6pcall_branch_aggregate_tool_catalog_00,gt_d8adfdfa9f35,branch_aggregate,17,unknown,0.416667,ttdf_72d564577ea1,pf_d721ea25cddd,train300,distractor_confusion,tool_catalog_search,topo_8c144cdbfcfb,G
float,5,5,5,4,0.0,A_5call_linear_long_horizon_00,gt_4f92c90ecf66,linear,9,unknown,0.5,ttdf_0313a502dad3,pf_52ec85c1156d,train300,premature_stop,long_horizon_planning,topo_d228dd6db98a,A
float,4,4,3,6,0.0408,A_4call_fan_in_variable_pla_00,gt_67dccbffbe14,fan_in,10,unknown,0.428571,ttdf_b2b56b137c8b,pf_931796939046,train300,too_few_calls,variable_planning,topo_30980484d6d7,A
float,6+,6,6,3,0.1361,G_6pcall_linear_long_horizon_00,gt_ce0083ec1ff6,linear,9,unknown,0.454545,ttdf_5aab74ea6a97,pf_6ea026cd0d4a,train300,premature_stop,long_horizon_planning,topo_02b29308ce2b,G
float,3,3,3,5,0.028,G_3call_linear_variable_pla_00,gt_74ab08262949,linear,8,unknown,0.4,ttdf_4f4cfd571d97,pf_cf3b54eaae65,train300,too_few_calls,variable_planning,topo_1c8dbe1830b2,G
float,4,4,2,11,0.0598,A_4call_branch_aggregate_tool_catalog_00,gt_27e317388214,branch_aggregate,15,unknown,0.428571,ttdf_b83412597b54,pf_24e9e7ea9f3f,train300,distractor_confusion,tool_catalog_search,topo_64b2717a77dd,A
float,2,2,2,7,0.0,G_2call_linear_continuation_00,gt_593776dcf098,linear,9,unknown,0.142857,ttdf_51827948d322,pf_35f8ddb3d0cb,train300,wrong_second_tool_after_correct_prefix,continuation_after_observation,topo_fdeb50f24873,G
float,5,5,5,4,0.0,G_5call_linear_long_horizon_00,gt_8bb2183cdfb4,linear,9,unknown,0.4,ttdf_4202fca7f96c,pf_dcb88682f20a,train300,premature_stop,long_horizon_planning,topo_d228dd6db98a,G
float,6+,7,4,11,0.0371,A_6pcall_fan_in_tool_catalog_01,gt_c04892500267,fan_in,18,unknown,0.461538,ttdf_022175aa5072,pf_3e697c2ed9dd,train300,distractor_confusion,tool_catalog_search,topo_63f405a71afa,A
float,6+,7,6,9,0.0227,G_6pcall_fan_in_tool_catalog_01,gt_e82fd1987305,fan_in,16,unknown,0.461538,ttdf_9c6752ff7b15,pf_37064f6fc8ce,train300,distractor_confusion,tool_catalog_search,topo_e5fe9f153cd3,G
list,3,3,3,6,0.0262,A_3call_linear_variable_pla_00,gt_55ebfde00b33,linear,9,unknown,0.2,ttdf_679788a6eb45,pf_2481ed394a88,train300,too_few_calls,variable_planning,topo_1c8dbe1830b2,A
numeric_string,2,2,2,7,0.03,A_2call_linear_continuation_03,gt_622753e34781,linear,9,unknown,0.333333,ttdf_90db64712927,pf_a69c83b8fcb8,train300,numeric_string_confusion,argument_typing,topo_fdeb50f24873,A
float,3,3,2,9,0.0357,A_3call_fan_in_variable_pla_00,gt_3b4ee6d4b07f,fan_in,12,unknown,0.333333,ttdf_ca9108b44831,pf_0c479be2e70b,train300,too_few_calls,variable_planning,topo_911586a55488,A
float,2,2,2,8,0.0306,G_2call_linear_continuation_04,gt_70da2107b403,linear,10,unknown,0.5,ttdf_3a37de07c8f3,pf_cc773ae86359,train300,wrong_second_tool_after_correct_prefix,continuation_after_observation,topo_fdeb50f24873,G
float,6+,6,4,9,0.0518,G_6pcall_fan_in_tool_catalog_01,gt_f1244426c8f8,fan_in,15,unknown,0.5,ttdf_dcb87329f6b3,pf_1aea990e8937,train300,distractor_confusion,tool_catalog_search,topo_2b9a65f092bb,G
float,2,2,2,16,0.0328,A_2call_linear_tool_catalog_05,gt_84f219ac023d,linear,18,unknown,0.333333,ttdf_3ec78e041369,pf_fcbbd03c5a80,train300,distractor_confusion,tool_catalog_search,topo_fdeb50f24873,A
float,3,3,2,8,0.0109,A_3call_fan_in_variable_pla_00,gt_3b4ee6d4b07f,fan_in,11,unknown,0.333333,ttdf_47d6bafc289b,pf_11c18efab760,train300,too_few_calls,variable_planning,topo_911586a55488,A
float,3,3,2,9,0.0078,G_3call_fan_in_variable_pla_00,gt_a6e9c4cb12b3,fan_in,12,unknown,0.4,ttdf_83ebd07be4f3,pf_3b66c9fffe9c,train300,too_few_calls,variable_planning,topo_911586a55488,G
float,5,5,3,10,0.0729,A_5call_branch_aggregate_tool_catalog_00,gt_883a97f83799,branch_aggregate,15,unknown,0.4,ttdf_363162f7a59a,pf_ff029801de87,train300,distractor_confusion,tool_catalog_search,topo_926c72bac680,A
float,3,3,2,13,0.0296,A_3call_fan_in_tool_catalog_01,gt_322b5979bec6,fan_in,16,unknown,0.4,ttdf_4567fb432b15,pf_6fc307686ec8,train300,distractor_confusion,tool_catalog_search,topo_911586a55488,A
float,3,3,2,9,0.0078,G_3call_fan_in_variable_pla_00,gt_322b5979bec6,fan_in,12,unknown,0.4,ttdf_19f08919b197,pf_50b1a095ad1e,train300,too_few_calls,variable_planning,topo_911586a55488,G
bool,2,2,2,8,0.0109,A_2call_linear_continuation_01,gt_dfaf3c6d7b7a,linear,10,unknown,0.25,ttdf_451069ca1428,pf_952b293cb4f4,train300,wrong_second_tool_after_correct_prefix,continuation_after_observation,topo_fdeb50f24873,A
float,2,2,2,6,0.0,G_2call_linear_continuation_00,gt_593776dcf098,linear,8,unknown,0.2,ttdf_72456fbaceec,pf_4b087095a23e,train300,wrong_second_tool_after_correct_prefix,continuation_after_observation,topo_fdeb50f24873,G
int,6+,6,6,3,0.0,A_6pcall_linear_long_horizon_00,gt_e52f15a8ad2d,linear,9,unknown,0.625,ttdf_c918ff392065,pf_64b7b237701a,train300,premature_stop,long_horizon_planning,topo_02b29308ce2b,A
float,6+,7,5,3,0.0219,A_6pcall_fan_in_long_horizon_00,gt_d0b906ee9acb,fan_in,10,unknown,0.5,ttdf_30262ae3333d,pf_2f0ab5092c83,train300,premature_stop,long_horizon_planning,topo_9e01698159b0,A
float,3,3,2,10,0.0408,A_3call_fan_in_tool_catalog_01,gt_322b5979bec6,fan_in,13,unknown,0.4,ttdf_1691d81231be,pf_a13757587852,train300,distractor_confusion,tool_catalog_search,topo_911586a55488,A
float,2,2,2,7,0.0,G_2call_linear_continuation_00,gt_593776dcf098,linear,9,unknown,0.142857,ttdf_2e2717475c74,pf_86a35c9794f3,train300,wrong_second_tool_after_correct_prefix,continuation_after_observation,topo_fdeb50f24873,G
float,2,2,2,7,0.0,G_2call_linear_continuation_03,gt_475bbf724df0,linear,9,unknown,0.5,ttdf_6fd76deaf2ef,pf_ab6ef6dc3848,train300,wrong_second_tool_after_correct_prefix,continuation_after_observation,topo_fdeb50f24873,G
float,2,2,2,7,0.01,G_2call_linear_continuation_00,gt_70da2107b403,linear,9,unknown,0.5,ttdf_147d31b4dfa6,pf_7383a87e6f7c,train300,wrong_second_tool_after_correct_prefix,continuation_after_observation,topo_fdeb50f24873,G
list,2,2,2,7,0.0675,A_2call_linear_continuation_00,gt_e768280f9cac,linear,9,unknown,0.1,ttdf_f819339eabcf,pf_f6ef734b1438,train300,wrong_second_tool_after_correct_prefix,continuation_after_observation,topo_fdeb50f24873,A
float,2,2,2,6,0.0262,G_2call_linear_continuation_00,gt_593776dcf098,linear,8,unknown,0.142857,ttdf_11e60195255a,pf_78b9c57cc5c8,train300,wrong_second_tool_after_correct_prefix,continuation_after_observation,topo_fdeb50f24873,G
float,4,4,3,6,0.0146,A_4call_fan_in_variable_pla_00,gt_fb222ea8804a,fan_in,10,unknown,0.428571,ttdf_b58eafc1260c,pf_ef420f6ea7fc,train300,too_few_calls,variable_planning,topo_30980484d6d7,A
float,3,3,2,9,0.0421,A_3call_fan_in_variable_pla_00,gt_a6e9c4cb12b3,fan_in,12,unknown,0.4,ttdf_d4145b9444ed,pf_329a9b5afb6a,train300,too_few_calls,variable_planning,topo_911586a55488,A
float,6+,6,6,2,0.0,G_6pcall_linear_long_horizon_00,gt_0af7a91558c3,linear,8,unknown,0.416667,ttdf_3cd519865c59,pf_f989ac9cbadd,train300,premature_stop,long_horizon_planning,topo_02b29308ce2b,G
float,5,5,5,4,0.0233,A_5call_linear_long_horizon_00,gt_8bb2183cdfb4,linear,9,unknown,0.4,ttdf_4cec37f76993,pf_dce36e0d7cfb,train300,premature_stop,long_horizon_planning,topo_d228dd6db98a,A
float,3,3,2,12,0.0335,A_3call_fan_in_tool_catalog_01,gt_cb9ed77a2f5f,fan_in,15,unknown,0.4,ttdf_c52a7e265e33,pf_622ae07336c9,train300,distractor_confusion,tool_catalog_search,topo_911586a55488,A
float,2,2,2,13,0.0202,A_2call_linear_tool_catalog_02,gt_84f219ac023d,linear,15,unknown,0.333333,ttdf_2b986e6bdea7,pf_57de1468c8ad,train300,distractor_confusion,tool_catalog_search,topo_fdeb50f24873,A
float,2,2,2,15,0.021,G_2call_linear_tool_catalog_02,gt_70da2107b403,linear,17,unknown,0.5,ttdf_612e10b789bc,pf_10971e40729c,train300,distractor_confusion,tool_catalog_search,topo_fdeb50f24873,G
int,6+,6,6,3,0.0,A_6pcall_linear_long_horizon_00,gt_8ad5589a1db9,linear,9,unknown,0.5,ttdf_a4c6ec0562d9,pf_f4c2c720f23c,train300,premature_stop,long_horizon_planning,topo_02b29308ce2b,A
float,5,5,5,4,0.035,G_5call_linear_long_horizon_00,gt_a9d7c8a8e6f8,linear,9,unknown,0.444444,ttdf_4a3fc5debb9d,pf_c7c985aa3347,train300,premature_stop,long_horizon_planning,topo_d228dd6db98a,G
float,3,3,2,8,0.0263,G_3call_fan_in_variable_pla_00,gt_322b5979bec6,fan_in,11,unknown,0.4,ttdf_2bc38c9c4e20,pf_a813b1a5d0b7,train300,too_few_calls,variable_planning,topo_911586a55488,G
float,2,2,2,8,0.0146,G_2call_linear_continuation_01,gt_475bbf724df0,linear,10,unknown,0.5,ttdf_5ab1d2b6b663,pf_a80c40d7b433,train300,wrong_second_tool_after_correct_prefix,continuation_after_observation,topo_fdeb50f24873,G
float,4,4,3,6,0.0554,A_4call_fan_in_variable_pla_00,gt_54146c19f33f,fan_in,10,unknown,0.428571,ttdf_688d7095b683,pf_186ef9ccd631,train300,too_few_calls,variable_planning,topo_5b37b75596d2,A
float,3,3,2,9,0.013,A_3call_fan_in_variable_pla_00,gt_3b4ee6d4b07f,fan_in,12,unknown,0.333333,ttdf_1248c57efcc6,pf_9b4680a2c7fc,train300,too_few_calls,variable_planning,topo_911586a55488,A
float,4,4,3,8,0.0233,A_4call_fan_in_variable_pla_00,gt_2799dce402a8,fan_in,12,unknown,0.5,ttdf_a22ec997fe59,pf_62f0380c853c,train300,too_few_calls,variable_planning,topo_5b37b75596d2,A
float,2,2,2,16,0.0226,G_2call_linear_tool_catalog_02,gt_593776dcf098,linear,18,unknown,0.142857,ttdf_319508cf581c,pf_57af375a057f,train300,distractor_confusion,tool_catalog_search,topo_fdeb50f24873,G
float,2,2,2,10,0.007,A_2call_linear_continuation_04,gt_84f219ac023d,linear,12,unknown,0.25,ttdf_dafc1b2ddacc,pf_7efa03c14e51,train300,wrong_second_tool_after_correct_prefix,continuation_after_observation,topo_fdeb50f24873,A
float,4,4,3,8,0.0219,A_4call_fan_in_variable_pla_00,gt_da6557979dd3,fan_in,12,unknown,0.5,ttdf_8d8527bbdc03,pf_728b138f1df6,train300,too_few_calls,variable_planning,topo_5b37b75596d2,A
float,4,4,3,6,0.0292,A_4call_fan_in_variable_pla_00,gt_f5d221a34d32,fan_in,10,unknown,0.428571,ttdf_57b10ed8cf78,pf_8dfb4b5f1883,train300,too_few_calls,variable_planning,topo_30980484d6d7,A
float,2,2,2,15,0.0093,A_2call_linear_tool_catalog_02,gt_84f219ac023d,linear,17,unknown,0.333333,ttdf_b0341ac4c9aa,pf_ebb70873f9f5,train300,distractor_confusion,tool_catalog_search,topo_fdeb50f24873,A
numeric_string,2,2,2,6,0.0262,A_2call_linear_continuation_03,gt_4089c427c015,linear,8,unknown,0.333333,ttdf_17d9120659cf,pf_cbf4f6ae6cf6,train300,numeric_string_confusion,argument_typing,topo_fdeb50f24873,A
float,2,2,2,7,0.0,G_2call_linear_continuation_03,gt_593776dcf098,linear,9,unknown,0.2,ttdf_005efca1844f,pf_0b9fc137be37,train300,wrong_second_tool_after_correct_prefix,continuation_after_observation,topo_fdeb50f24873,G
list,2,2,2,6,0.0146,A_2call_linear_continuation_00,gt_97fd5ddcb041,linear,8,unknown,0.2,ttdf_8b058331392f,pf_d43b6d2acce1,train300,wrong_second_tool_after_correct_prefix,continuation_after_observation,topo_fdeb50f24873,A
float,3,3,2,8,0.0255,A_3call_fan_in_variable_pla_00,gt_cb9ed77a2f5f,fan_in,11,unknown,0.4,ttdf_b04dd3250bb1,pf_b03bb79e4acd,train300,too_few_calls,variable_planning,topo_911586a55488,A
list,3,3,3,5,0.0175,A_3call_linear_variable_pla_00,gt_600bab68eaed,linear,8,unknown,0.25,ttdf_f4e3251080e5,pf_530340d54ef6,train300,too_few_calls,variable_planning,topo_1c8dbe1830b2,A
int,6+,6,6,3,0.0622,A_6pcall_linear_long_horizon_00,gt_3ed5d7ce794c,linear,9,unknown,0.5,ttdf_d2a895e12a22,pf_0f169ba16e6d,train300,premature_stop,long_horizon_planning,topo_02b29308ce2b,A
list,2,2,2,7,0.01,A_2call_linear_continuation_00,gt_e768280f9cac,linear,9,unknown,0.125,ttdf_b0e1313215db,pf_3bd2a3978127,train300,wrong_second_tool_after_correct_prefix,continuation_after_observation,topo_fdeb50f24873,A
float,3,3,2,9,0.0,G_3call_fan_in_variable_pla_00,gt_cb9ed77a2f5f,fan_in,12,unknown,0.4,ttdf_5f2eb8ec39ec,pf_481a060b3ede,train300,too_few_calls,variable_planning,topo_911586a55488,G
float,6+,7,4,2,0.105,A_6pcall_fan_in_tool_catalog_02,gt_bc75e07ff79e,fan_in,9,unknown,0.545455,ttdf_106079237341,pf_4b2960f4c21a,train300,distractor_confusion,tool_catalog_search,topo_63f405a71afa,A
float,2,2,2,7,0.0,G_2call_linear_continuation_00,gt_593776dcf098,linear,9,unknown,0.166667,ttdf_30604a02a4a5,pf_4858a83424db,train300,wrong_second_tool_after_correct_prefix,continuation_after_observation,topo_fdeb50f24873,G
float,6+,6,5,3,0.0292,A_6pcall_fan_in_tool_catalog_02,gt_ec5116668aea,fan_in,9,unknown,0.5,ttdf_044a60c4e27e,pf_05e6e7d40c40,train300,distractor_confusion,tool_catalog_search,topo_33e36888cf10,A
float,6+,7,6,6,0.0575,G_6pcall_fan_in_tool_catalog_01,gt_9ee4a92449f7,fan_in,13,unknown,0.461538,ttdf_05d62bcf105b,pf_ab9bdfdddb24,train300,distractor_confusion,tool_catalog_search,topo_4a07cdfdb909,G
float,4,4,2,13,0.0494,A_4call_branch_aggregate_tool_catalog_00,gt_e1062e5e3248,branch_aggregate,17,unknown,0.428571,ttdf_9608810991a9,pf_b59fe7404644,train300,distractor_confusion,tool_catalog_search,topo_64b2717a77dd,A
list,3,3,3,6,0.0583,A_3call_linear_variable_pla_00,gt_55ebfde00b33,linear,9,unknown,0.25,ttdf_9236b2118b75,pf_d2bbd13093ce,train300,too_few_calls,variable_planning,topo_1c8dbe1830b2,A
float,5,5,4,6,0.0583,G_5call_fan_in_long_horizon_00,gt_177facfea7bf,fan_in,11,unknown,0.4,ttdf_388100fe8a5d,pf_8af51546ef2f,train300,premature_stop,long_horizon_planning,topo_2b041b861492,G
float,5,5,3,13,0.0246,A_5call_branch_aggregate_tool_catalog_00,gt_82f6ee147d76,branch_aggregate,18,unknown,0.5,ttdf_04b00af46982,pf_387874b44a8e,train300,distractor_confusion,tool_catalog_search,topo_926c72bac680,A
float,2,2,2,8,0.0,G_2call_linear_continuation_04,gt_593776dcf098,linear,10,unknown,0.142857,ttdf_8255f00ac007,pf_4fecf69d4aac,train300,wrong_second_tool_after_correct_prefix,continuation_after_observation,topo_fdeb50f24873,G
float,6+,6,6,2,0.0729,G_6pcall_linear_long_horizon_00,gt_ce0083ec1ff6,linear,8,unknown,0.454545,ttdf_1774ca010efd,pf_1881be770c34,train300,premature_stop,long_horizon_planning,topo_02b29308ce2b,G
float,6+,6,4,5,0.0525,G_6pcall_fan_in_long_horizon_00,gt_16d5c8fda571,fan_in,11,unknown,0.555556,ttdf_5c1811f269c9,pf_9df79eae7032,train300,premature_stop,long_horizon_planning,topo_2b9a65f092bb,G
float,6+,8,6,7,0.0285,G_6pcall_fan_in_tool_catalog_01,gt_f940a4d041d6,fan_in,15,unknown,0.5,ttdf_00e8c3231e5f,pf_ba936827704d,train300,distractor_confusion,tool_catalog_search,topo_ace9c53050f0,G
int,6+,8,4,8,0.0298,G_6pcall_branch_aggregate_tool_catalog_00,gt_722ed022b7d0,branch_aggregate,16,unknown,0.4375,ttdf_4e2a3eb7132f,pf_1669eefd9206,train300,distractor_confusion,tool_catalog_search,topo_d4b4ab44315e,G
float,4,4,4,4,0.0394,A_4call_linear_variable_pla_00,gt_3a59d56ad239,linear,8,unknown,0.5,ttdf_7259ee23f0ab,pf_f505d68c6946,train300,too_few_calls,variable_planning,topo_5296967693d8,A
float,3,3,2,7,0.0,G_3call_fan_in_variable_pla_00,gt_cb9ed77a2f5f,fan_in,10,unknown,0.4,ttdf_345e33c16f78,pf_13621c038edf,train300,too_few_calls,variable_planning,topo_911586a55488,G
list,3,3,3,6,0.0729,A_3call_linear_variable_pla_00,gt_55ebfde00b33,linear,9,unknown,0.25,ttdf_102b350308ae,pf_de7667e6cd32,train300,too_few_calls,variable_planning,topo_1c8dbe1830b2,A
float,3,3,2,9,0.0,G_3call_fan_in_variable_pla_00,gt_3b4ee6d4b07f,fan_in,12,unknown,0.333333,ttdf_2345b4ed0bee,pf_db965588d310,train300,too_few_calls,variable_planning,topo_911586a55488,G
float,2,2,2,12,0.0097,G_2call_linear_tool_catalog_02,gt_593776dcf098,linear,14,unknown,0.142857,ttdf_ba79321fa94d,pf_233be85665d2,train300,distractor_confusion,tool_catalog_search,topo_fdeb50f24873,G
float,3,3,2,13,0.035,A_3call_fan_in_tool_catalog_01,gt_3b4ee6d4b07f,fan_in,16,unknown,0.333333,ttdf_3f37a8742f19,pf_1297c37b1ccc,train300,distractor_confusion,tool_catalog_search,topo_911586a55488,A
string,4,4,3,7,0.02,G_4call_fan_in_variable_pla_00,gt_1ae4a196c464,fan_in,11,unknown,0.5,ttdf_e4e89fb61074,pf_7a53b5c3ddf4,train300,too_few_calls,variable_planning,topo_bd3dd51ec1a9,G
