aggregation_arity,branching_score,call_bucket,critical_path_length,depth,edge_density,indegree_hist,linearity_score,max_indegree,max_outdegree,motif,n_calls_with_reference,n_constant_only_calls,n_edges,n_fan_in_nodes,n_fan_out_nodes,n_leaves,n_nodes,n_reused_outputs,n_roots,outdegree_hist,ref_format_counts,reference_density,sample_id,source,tool_names,topology_hash,weakly_connected_components
1.0,0.0,6+,6,6,0.333333,"{0: 1, 1: 5}",1.0,1,1,linear,5,1,5,0,0,1,6,0,1,"{1: 5, 0: 1}",{0: 5},0.333333,ttdf_27aaca70dd97,train600,fahrenheit_to_celsius|percentage_value|decrease_by_percent|increase_by_percent|sum_two_numbers|append_to_values,topo_02b29308ce2b,1
2.0,0.166667,6+,4,4,0.333333,"{0: 2, 1: 3, 2: 1}",0.0,2,1,fan_in,4,2,5,1,0,1,6,0,2,"{1: 5, 0: 1}",{0: 5},0.454545,ttdf_0da13eb1c2e8,train600,increase_by_percent|negate|increase_by_percent|decrease_by_percent|whole_quotient|average_of_two,topo_2b9a65f092bb,1
1.0,0.0,6+,6,6,0.333333,"{0: 1, 1: 5}",1.0,1,1,linear,5,1,5,0,0,1,6,0,1,"{1: 5, 0: 1}",{0: 5},0.294118,ttdf_17a2ddc2dd33,train600,position_of_maximum|average_of_two|divide|ratio_of|inverse|append_to_values,topo_02b29308ce2b,1
1.0,0.0,3,3,3,0.666667,"{0: 1, 1: 2}",1.0,1,1,linear,2,1,2,0,0,1,3,0,1,"{1: 2, 0: 1}",{0: 2},0.4,ttdf_1cdd7c283176,train600,percent_of|negate|label_with_unit,topo_1c8dbe1830b2,1
3.0,0.25,4,2,2,0.5,"{0: 3, 3: 1}",0.0,3,1,fan_in,1,3,3,1,0,1,4,0,3,"{1: 3, 0: 1}",{0: 3},0.333333,ttdf_ea8c5f94acb7,train600,proportion_between|total_of_pair|midpoint_value|balance_of_three,topo_64b2717a77dd,1
1.0,0.0,6+,8,8,0.25,"{0: 1, 1: 7}",1.0,1,1,linear,7,1,7,0,0,1,8,0,1,"{1: 7, 0: 1}",{0: 7},0.4375,ttdf_0001c0bc1f80,train600,ratio_of|nearest_integer|modulo_of|absolute_difference|decrease_by_percent|ceiling|sum_two_numbers|scale_values,topo_ff8ead63c33b,1
1.0,0.0,2,2,2,1.0,"{0: 1, 1: 1}",1.0,1,1,linear,1,1,1,0,0,1,2,0,1,"{1: 1, 0: 1}",{0: 1},0.166667,ttdf_1a6e38f0369c,train600,aggregate_total|midpoint_value,topo_fdeb50f24873,1
1.0,0.0,6+,6,6,0.333333,"{0: 1, 1: 5}",1.0,1,1,linear,5,1,5,0,0,1,6,0,1,"{1: 5, 0: 1}",{0: 5},0.454545,ttdf_1a01c6d536a4,train600,percentage_value|subtract|floor_divide|increase_by_percent|absolute_difference|nearest_integer,topo_02b29308ce2b,1
2.0,0.142857,6+,4,4,0.285714,"{0: 2, 1: 4, 2: 1}",0.0,2,1,fan_in,5,2,6,1,0,1,7,0,2,"{1: 6, 0: 1}",{0: 6},0.461538,ttdf_0d411ccb498c,train600,average_of_two|percentage_value|sqrt|round_to_decimals|add|modulo_of|percentage_value,topo_63f405a71afa,1
1.0,0.0,6+,6,6,0.333333,"{0: 1, 1: 5}",1.0,1,1,linear,5,1,5,0,0,1,6,0,1,"{1: 5, 0: 1}",{0: 5},0.5,ttdf_a321a8fea7c6,train600,meters_to_km|absolute_difference|absolute_difference|average_of_two|absolute_difference|nearest_integer,topo_02b29308ce2b,1
2.0,0.333333,3,2,2,0.666667,"{0: 2, 2: 1}",0.0,2,1,fan_in,1,2,2,1,0,1,3,0,2,"{1: 2, 0: 1}",{0: 2},0.4,ttdf_227886ccefeb,train600,total_of_pair|km_from_meters|proportion_between,topo_911586a55488,1
1.0,0.0,2,2,2,1.0,"{0: 1, 1: 1}",1.0,1,1,linear,1,1,1,0,0,1,2,0,1,"{1: 1, 0: 1}",{0: 1},0.2,ttdf_04e494f5a70b,train600,percent_of|is_within_range,topo_fdeb50f24873,1
1.0,0.0,2,2,2,1.0,"{0: 1, 1: 1}",1.0,1,1,linear,1,1,1,0,0,1,2,0,1,"{1: 1, 0: 1}",{0: 1},0.142857,ttdf_d286d593a710,train600,central_value|grow_by_rate,topo_fdeb50f24873,1
1.0,0.0,3,3,3,0.666667,"{0: 1, 1: 2}",1.0,1,1,linear,2,1,2,0,0,1,3,0,1,"{1: 2, 0: 1}",{0: 2},0.222222,ttdf_262c686d2838,train600,series_length|full_groups_of|remaining_after,topo_1c8dbe1830b2,1
2.0,0.2,5,4,4,0.4,"{0: 2, 1: 2, 2: 1}",0.0,2,1,fan_in,3,2,4,1,0,1,5,0,2,"{1: 4, 0: 1}",{0: 4},0.571429,ttdf_01c4b480c3d9,train600,round_down_whole|celsius_from_fahrenheit|leftover_after_grouping|round_up_whole|gap_between,topo_2b041b861492,1
1.0,0.0,2,2,2,1.0,"{0: 1, 1: 1}",1.0,1,1,linear,1,1,1,0,0,1,2,0,1,"{1: 1, 0: 1}",{0: 1},0.333333,ttdf_4fd7f3793225,train600,ratio_of|ceiling,topo_fdeb50f24873,1
1.0,0.0,2,2,2,1.0,"{0: 1, 1: 1}",1.0,1,1,linear,1,1,1,0,0,1,2,0,1,"{1: 1, 0: 1}",{0: 1},0.125,ttdf_325530f5c958,train600,mean_of_values|ratio_of,topo_fdeb50f24873,1
2.0,0.333333,3,2,2,0.666667,"{0: 2, 2: 1}",0.0,2,1,fan_in,1,2,2,1,0,1,3,0,2,"{1: 2, 0: 1}",{0: 2},0.4,ttdf_2bc38c9c4e20,train600,fahrenheit_from_celsius|total_of_pair|proportion_between,topo_911586a55488,1
1.0,0.0,4,4,4,0.5,"{0: 1, 1: 3}",1.0,1,1,linear,3,1,3,0,0,1,4,0,1,"{1: 3, 0: 1}",{0: 3},0.428571,ttdf_3f0160b25ed5,train600,midpoint_value|reduce_amount|whole_number_of|portion_by_rate,topo_5296967693d8,1
2.0,0.333333,3,2,2,0.666667,"{0: 2, 2: 1}",0.0,2,1,fan_in,1,2,2,1,0,1,3,0,2,"{1: 2, 0: 1}",{0: 2},0.4,ttdf_699f3954362d,train600,celsius_from_fahrenheit|leftover_after_grouping|midpoint_value,topo_911586a55488,1
2.0,0.333333,3,2,2,0.666667,"{0: 2, 2: 1}",0.0,2,1,fan_in,1,2,2,1,0,1,3,0,2,"{1: 2, 0: 1}",{0: 2},0.4,ttdf_dab00e9a8e0b,train600,hours_to_minutes|floor_divide|multiply,topo_911586a55488,1
2.0,0.333333,3,2,2,0.666667,"{0: 2, 2: 1}",0.0,2,1,fan_in,1,2,2,1,0,1,3,0,2,"{1: 2, 0: 1}",{0: 2},0.4,ttdf_1f203e751574,train600,increase_by_percent|fahrenheit_to_celsius|percent_of,topo_911586a55488,1
1.0,0.0,2,2,2,1.0,"{0: 1, 1: 1}",1.0,1,1,linear,1,1,1,0,0,1,2,0,1,"{1: 1, 0: 1}",{0: 1},0.2,ttdf_6816b7fc0b9c,train600,position_of_maximum|difference_of_numbers,topo_fdeb50f24873,1
2.0,0.25,4,3,3,0.5,"{0: 2, 2: 1, 1: 1}",0.0,2,1,fan_in,2,2,3,1,0,1,4,0,2,"{1: 3, 0: 1}",{0: 3},0.5,ttdf_c9fd563a2130,train600,self_product|meters_from_km|proportion_between|compose_reference_code,topo_bd3dd51ec1a9,1
1.0,0.0,4,4,4,0.5,"{0: 1, 1: 3}",1.0,1,1,linear,3,1,3,0,0,1,4,0,1,"{1: 3, 0: 1}",{0: 3},0.5,ttdf_33305ee7e8a9,train600,ceiling|square_value|divide|product_of_numbers,topo_5296967693d8,1
2.0,0.333333,3,2,2,0.666667,"{0: 2, 2: 1}",0.0,2,1,fan_in,1,2,2,1,0,1,3,0,2,"{1: 2, 0: 1}",{0: 2},0.4,ttdf_a3836effad43,train600,meters_from_km|split_evenly|midpoint_value,topo_911586a55488,1
1.0,0.0,2,2,2,1.0,"{0: 1, 1: 1}",1.0,1,1,linear,1,1,1,0,0,1,2,0,1,"{1: 1, 0: 1}",{0: 1},0.142857,ttdf_14a8147546d7,train600,series_spread|gap_between,topo_fdeb50f24873,1
1.0,0.0,2,2,2,1.0,"{0: 1, 1: 1}",1.0,1,1,linear,1,1,1,0,0,1,2,0,1,"{1: 1, 0: 1}",{0: 1},0.5,ttdf_5ab1d2b6b663,train600,flip_sign|reciprocal_value,topo_fdeb50f24873,1
1.0,0.0,2,2,2,1.0,"{0: 1, 1: 1}",1.0,1,1,linear,1,1,1,0,0,1,2,0,1,"{1: 1, 0: 1}",{0: 1},0.25,ttdf_043985a8ce1c,train600,whole_quotient|format_number_fixed,topo_fdeb50f24873,1
3.0,0.25,4,2,2,0.5,"{0: 3, 3: 1}",0.0,3,1,fan_in,1,3,3,1,0,1,4,0,3,"{1: 3, 0: 1}",{0: 3},0.375,ttdf_303182f248e9,train600,sum_two_numbers|divide|floor|range_of_three,topo_64b2717a77dd,1
1.0,0.0,2,2,2,1.0,"{0: 1, 1: 1}",1.0,1,1,linear,1,1,1,0,0,1,2,0,1,"{1: 1, 0: 1}",{0: 1},0.2,ttdf_005efca1844f,train600,aggregate_total|reduce_amount,topo_fdeb50f24873,1
3.0,0.2,5,3,3,0.4,"{0: 3, 1: 1, 3: 1}",0.0,3,1,fan_in,2,3,4,1,0,1,5,0,3,"{1: 4, 0: 1}",{0: 4},0.4,ttdf_3fb598048f3d,train600,ratio_of|subtract|sqrt|sum_two_numbers|range_of_three,topo_926c72bac680,1
2.0,0.333333,3,2,2,0.666667,"{0: 2, 2: 1}",0.0,2,1,fan_in,1,2,2,1,0,1,3,0,2,"{1: 2, 0: 1}",{0: 2},0.4,ttdf_57b5548d9406,train600,divide|sqrt|percentage_value,topo_911586a55488,1
2.0,0.166667,6+,5,5,0.333333,"{0: 2, 1: 3, 2: 1}",0.0,2,1,fan_in,4,2,5,1,0,1,6,0,2,"{1: 5, 0: 1}",{0: 5},0.416667,ttdf_5234b52034e7,train600,shrink_by_rate|portion_by_rate|leftover_after_grouping|shrink_by_rate|gap_between|exceeds_value,topo_6083e580bf00,1
1.0,0.0,6+,6,6,0.333333,"{0: 1, 1: 5}",1.0,1,1,linear,5,1,5,0,0,1,6,0,1,"{1: 5, 0: 1}",{0: 5},0.454545,ttdf_0612ae6230c8,train600,percent_of|decrease_by_percent|absolute_difference|divide|subtract|nearest_integer,topo_02b29308ce2b,1
1.0,0.0,2,2,2,1.0,"{0: 1, 1: 1}",1.0,1,1,linear,1,1,1,0,0,1,2,0,1,"{1: 1, 0: 1}",{0: 1},0.333333,ttdf_3ab27f7a489e,train600,average_of_two|nearest_integer,topo_fdeb50f24873,1
1.0,0.0,2,2,2,1.0,"{0: 1, 1: 1}",1.0,1,1,linear,1,1,1,0,0,1,2,0,1,"{1: 1, 0: 1}",{0: 1},0.333333,ttdf_02ffa6ab4799,train600,percent_of|negate,topo_fdeb50f24873,1
1.0,0.0,3,3,3,0.666667,"{0: 1, 1: 2}",1.0,1,1,linear,2,1,2,0,0,1,3,0,1,"{1: 2, 0: 1}",{0: 2},0.285714,ttdf_0d64a00f5dbd,train600,central_value|leftover_after_grouping|reduce_amount,topo_1c8dbe1830b2,1
1.0,0.0,5,5,5,0.4,"{0: 1, 1: 4}",1.0,1,1,linear,4,1,4,0,0,1,5,0,1,"{1: 4, 0: 1}",{0: 4},0.307692,ttdf_45503416c7e3,train600,series_length|remaining_after|shrink_by_rate|shrink_by_rate|pairwise_product,topo_d228dd6db98a,1
2.0,0.2,5,4,4,0.4,"{0: 2, 1: 2, 2: 1}",0.0,2,1,fan_in,3,2,4,1,0,1,5,0,2,"{1: 4, 0: 1}",{0: 4},0.444444,ttdf_5ca8a1664d95,train600,trim_precision|proportion_between|root_extract|proportion_between|gap_between,topo_774030263969,1
2.0,0.333333,3,2,2,0.666667,"{0: 2, 2: 1}",0.0,2,1,fan_in,1,2,2,1,0,1,3,0,2,"{1: 2, 0: 1}",{0: 2},0.4,ttdf_d898b08082c1,train600,whole_minutes_from_seconds|portion_by_rate|reduce_amount,topo_911586a55488,1
1.0,0.0,2,2,2,1.0,"{0: 1, 1: 1}",1.0,1,1,linear,1,1,1,0,0,1,2,0,1,"{1: 1, 0: 1}",{0: 1},0.142857,ttdf_7452e3961ad2,train600,sum_of_values|inverse,topo_fdeb50f24873,1
2.0,0.166667,6+,5,5,0.333333,"{0: 2, 1: 3, 2: 1}",0.0,2,1,fan_in,4,2,5,1,0,1,6,0,2,"{1: 5, 0: 1}",{0: 5},0.5,ttdf_00eea86dd3fb,train600,meters_from_km|midpoint_value|shrink_by_rate|combine_amounts|reciprocal_value|remaining_after,topo_926312b15db7,1
1.0,0.0,2,2,2,1.0,"{0: 1, 1: 1}",1.0,1,1,linear,1,1,1,0,0,1,2,0,1,"{1: 1, 0: 1}",{0: 1},0.166667,ttdf_424b15d64dbd,train600,range_of_values|product_of_numbers,topo_fdeb50f24873,1
1.0,0.0,2,2,2,1.0,"{0: 1, 1: 1}",1.0,1,1,linear,1,1,1,0,0,1,2,0,1,"{1: 1, 0: 1}",{0: 1},0.125,ttdf_77a17198d6a2,train600,increase_by_percent|scale_values,topo_fdeb50f24873,1
1.0,0.0,2,2,2,1.0,"{0: 1, 1: 1}",1.0,1,1,linear,1,1,1,0,0,1,2,0,1,"{1: 1, 0: 1}",{0: 1},0.166667,ttdf_1c5edf726d90,train600,aggregate_total|gap_between,topo_fdeb50f24873,1
2.0,0.333333,3,2,2,0.666667,"{0: 2, 2: 1}",0.0,2,1,fan_in,1,2,2,1,0,1,3,0,2,"{1: 2, 0: 1}",{0: 2},0.4,ttdf_7ce7005320b7,train600,inverse|floor_divide|difference_of_numbers,topo_911586a55488,1
2.0,0.166667,6+,5,5,0.333333,"{0: 2, 1: 3, 2: 1}",0.0,2,1,fan_in,4,2,5,1,0,1,6,0,2,"{1: 5, 0: 1}",{0: 5},0.416667,ttdf_8940ad9d46bf,train600,whole_minutes_from_seconds|portion_by_rate|proportion_between|gap_between|gap_between|inside_limits,topo_6083e580bf00,1
2.0,0.166667,6+,5,5,0.333333,"{0: 2, 1: 3, 2: 1}",0.0,2,1,fan_in,4,2,5,1,0,1,6,0,2,"{1: 5, 0: 1}",{0: 5},0.454545,ttdf_001c7f87d8d1,train600,percentage_value|celsius_to_fahrenheit|add|floor_divide|floor_divide|ratio_of,topo_33e36888cf10,1
1.0,0.0,2,2,2,1.0,"{0: 1, 1: 1}",1.0,1,1,linear,1,1,1,0,0,1,2,0,1,"{1: 1, 0: 1}",{0: 1},0.333333,ttdf_5403047f1029,train600,shrink_by_rate|self_product,topo_fdeb50f24873,1
1.0,0.0,3,3,3,0.666667,"{0: 1, 1: 2}",1.0,1,1,linear,2,1,2,0,0,1,3,0,1,"{1: 2, 0: 1}",{0: 2},0.333333,ttdf_42dfe03aa03e,train600,per_unit_value|gap_between|scale_quantity,topo_1c8dbe1830b2,1
1.0,0.0,2,2,2,1.0,"{0: 1, 1: 1}",1.0,1,1,linear,1,1,1,0,0,1,2,0,1,"{1: 1, 0: 1}",{0: 1},0.142857,ttdf_934faf8ba01c,train600,central_value|leftover_after_grouping,topo_fdeb50f24873,1
1.0,0.0,6+,8,8,0.25,"{0: 1, 1: 7}",1.0,1,1,linear,7,1,7,0,0,1,8,0,1,"{1: 7, 0: 1}",{0: 7},0.388889,ttdf_83c35dcd6096,train600,increase_by_percent|increase_by_percent|whole_quotient|negate|percentage_value|quotient_of|average_of_two|scale_values,topo_ff8ead63c33b,1
1.0,0.0,2,2,2,1.0,"{0: 1, 1: 1}",1.0,1,1,linear,1,1,1,0,0,1,2,0,1,"{1: 1, 0: 1}",{0: 1},0.333333,ttdf_c48004ec37d3,train600,whole_number_of|portion_by_rate,topo_fdeb50f24873,1
1.0,0.0,3,3,3,0.666667,"{0: 1, 1: 2}",1.0,1,1,linear,2,1,2,0,0,1,3,0,1,"{1: 2, 0: 1}",{0: 2},0.333333,ttdf_6699e83d94fd,train600,full_groups_of|portion_by_rate|per_unit_value,topo_1c8dbe1830b2,1
2.0,0.25,4,3,3,0.5,"{0: 2, 2: 1, 1: 1}",0.0,2,1,fan_in,2,2,3,1,0,1,4,0,2,"{1: 3, 0: 1}",{0: 3},0.5,ttdf_1691c4ac38d4,train600,km_from_meters|self_product|midpoint_value|annotate_measurement,topo_bd3dd51ec1a9,1
3.0,0.25,4,2,2,0.5,"{0: 3, 3: 1}",0.0,3,1,fan_in,1,3,3,1,0,1,4,0,3,"{1: 3, 0: 1}",{0: 3},0.375,ttdf_2c91c6df24d4,train600,reduce_amount|grow_by_rate|round_up_whole|dispersion_of_three,topo_64b2717a77dd,1
1.0,0.0,2,2,2,1.0,"{0: 1, 1: 1}",1.0,1,1,linear,1,1,1,0,0,1,2,0,1,"{1: 1, 0: 1}",{0: 1},0.333333,ttdf_797de6038af8,train600,sqrt|absolute_difference,topo_fdeb50f24873,1
2.0,0.166667,6+,4,4,0.333333,"{0: 2, 1: 3, 2: 1}",0.0,2,1,fan_in,4,2,5,1,0,1,6,0,2,"{1: 5, 0: 1}",{0: 5},0.555556,ttdf_17b15dbab77c,train600,km_to_meters|negate|modulo_of|negate|increase_by_percent|difference_of_numbers,topo_5cf1a13edea8,1
1.0,0.0,2,2,2,1.0,"{0: 1, 1: 1}",1.0,1,1,linear,1,1,1,0,0,1,2,0,1,"{1: 1, 0: 1}",{0: 1},0.333333,ttdf_01c298009b82,train600,flip_sign|portion_by_rate,topo_fdeb50f24873,1
2.0,0.142857,6+,5,5,0.285714,"{0: 2, 1: 4, 2: 1}",0.0,2,1,fan_in,5,2,6,1,0,1,7,0,2,"{1: 6, 0: 1}",{0: 6},0.545455,ttdf_119efa6f9fb7,train600,quotient_of|square_value|ceiling|average_of_two|sqrt|decrease_by_percent|quotient_of,topo_ca6030f187be,1
2.0,0.125,6+,6,6,0.25,"{0: 2, 1: 5, 2: 1}",0.0,2,1,fan_in,6,2,7,1,0,1,8,0,2,"{1: 7, 0: 1}",{0: 7},0.466667,ttdf_12f3a73f71fc,train600,quotient_of|absolute_difference|ratio_of|average_of_two|multiply|nearest_integer|quotient_of|average_of_two,topo_ace9c53050f0,1
3.0,0.2,5,3,3,0.4,"{0: 3, 1: 1, 3: 1}",0.0,3,1,fan_in,2,3,4,1,0,1,5,0,3,"{1: 4, 0: 1}",{0: 4},0.4,ttdf_3799eac59203,train600,round_down_whole|reduce_amount|scale_quantity|per_unit_value|balance_of_three,topo_926c72bac680,1
2.0,0.333333,3,2,2,0.666667,"{0: 2, 2: 1}",0.0,2,1,fan_in,1,2,2,1,0,1,3,0,2,"{1: 2, 0: 1}",{0: 2},0.4,ttdf_297b6a171cb4,train600,shrink_by_rate|meters_from_km|portion_by_rate,topo_911586a55488,1
1.0,0.0,5,5,5,0.4,"{0: 1, 1: 4}",1.0,1,1,linear,4,1,4,0,0,1,5,0,1,"{1: 4, 0: 1}",{0: 4},0.4,ttdf_dbca6ce17e9d,train600,full_groups_of|midpoint_value|grow_by_rate|shrink_by_rate|combine_amounts,topo_d228dd6db98a,1
2.0,0.25,4,3,3,0.5,"{0: 2, 2: 1, 1: 1}",0.0,2,1,fan_in,2,2,3,1,0,1,4,0,2,"{1: 3, 0: 1}",{0: 3},0.333333,ttdf_0770a215aedc,train600,hours_to_minutes|fahrenheit_to_celsius|sum_two_numbers|append_to_values,topo_bd3dd51ec1a9,1
1.0,0.0,2,2,2,1.0,"{0: 1, 1: 1}",1.0,1,1,linear,1,1,1,0,0,1,2,0,1,"{1: 1, 0: 1}",{0: 1},0.333333,ttdf_deae1f887c12,train600,square_value|percentage_value,topo_fdeb50f24873,1
2.0,0.2,5,3,3,0.4,"{0: 2, 1: 2, 2: 1}",0.0,2,1,fan_in,3,2,4,1,0,1,5,0,2,"{1: 4, 0: 1}",{0: 4},0.444444,ttdf_735f00969599,train600,scale_quantity|gap_between|self_product|reduce_amount|reduce_amount,topo_17d840e0415f,1
2.0,0.2,5,3,3,0.4,"{0: 2, 1: 2, 2: 1}",0.0,2,1,fan_in,3,2,4,1,0,1,5,0,2,"{1: 4, 0: 1}",{0: 4},0.5,ttdf_61719d1d9a53,train600,round_up_whole|proportion_between|seconds_from_minutes|full_groups_of|proportion_between,topo_17d840e0415f,1
3.0,0.142857,6+,3,3,0.285714,"{0: 3, 1: 3, 3: 1}",0.0,3,1,fan_in,4,3,6,1,0,1,7,0,3,"{1: 6, 0: 1}",{0: 6},0.461538,ttdf_0acb949c0b84,train600,total_of_pair|per_unit_value|grow_by_rate|remaining_after|round_up_whole|root_extract|dispersion_of_three,topo_b53a306e6f0b,1
2.0,0.2,5,4,4,0.4,"{0: 2, 1: 2, 2: 1}",0.0,2,1,fan_in,3,2,4,1,0,1,5,0,2,"{1: 4, 0: 1}",{0: 4},0.444444,ttdf_65e2342e8c96,train600,product_of_numbers|decrease_by_percent|meters_to_km|add|label_with_unit,topo_0c51481d8aeb,1
3.0,0.25,4,2,2,0.5,"{0: 3, 3: 1}",0.0,3,1,fan_in,1,3,3,1,0,1,4,0,3,"{1: 3, 0: 1}",{0: 3},0.333333,ttdf_5d4a18f14a8d,train600,percent_of|increase_by_percent|absolute_difference|mean_of_three,topo_64b2717a77dd,1
1.0,0.0,2,2,2,1.0,"{0: 1, 1: 1}",1.0,1,1,linear,1,1,1,0,0,1,2,0,1,"{1: 1, 0: 1}",{0: 1},0.333333,ttdf_0ba4ae72e658,train600,negate|product_of_numbers,topo_fdeb50f24873,1
2.0,0.333333,3,2,2,0.666667,"{0: 2, 2: 1}",0.0,2,1,fan_in,1,2,2,1,0,1,3,0,2,"{1: 2, 0: 1}",{0: 2},0.4,ttdf_17671b0fdf34,train600,floor_divide|meters_to_km|absolute_difference,topo_911586a55488,1
1.0,0.0,2,2,2,1.0,"{0: 1, 1: 1}",1.0,1,1,linear,1,1,1,0,0,1,2,0,1,"{1: 1, 0: 1}",{0: 1},0.125,ttdf_1049e047f9b8,train600,central_value|reduce_amount,topo_fdeb50f24873,1
1.0,0.0,2,2,2,1.0,"{0: 1, 1: 1}",1.0,1,1,linear,1,1,1,0,0,1,2,0,1,"{1: 1, 0: 1}",{0: 1},0.333333,ttdf_5c216c99a0bc,train600,increase_by_percent|nearest_integer,topo_fdeb50f24873,1
1.0,0.0,2,2,2,1.0,"{0: 1, 1: 1}",1.0,1,1,linear,1,1,1,0,0,1,2,0,1,"{1: 1, 0: 1}",{0: 1},0.166667,ttdf_06c164ef0719,train600,count_of_values|decrease_by_percent,topo_fdeb50f24873,1
1.0,0.0,4,4,4,0.5,"{0: 1, 1: 3}",1.0,1,1,linear,3,1,3,0,0,1,4,0,1,"{1: 3, 0: 1}",{0: 3},0.428571,ttdf_72a4ddab8909,train600,seconds_to_full_minutes|difference_of_numbers|ratio_of|add,topo_5296967693d8,1
2.0,0.25,4,3,3,0.5,"{0: 2, 2: 1, 1: 1}",0.0,2,1,fan_in,2,2,3,1,0,1,4,0,2,"{1: 3, 0: 1}",{0: 3},0.3,ttdf_48f8a8e09070,train600,meters_to_km|nearest_integer|add|append_to_values,topo_bd3dd51ec1a9,1
2.0,0.333333,3,2,2,0.666667,"{0: 2, 2: 1}",0.0,2,1,fan_in,1,2,2,1,0,1,3,0,2,"{1: 2, 0: 1}",{0: 2},0.4,ttdf_79b247cc2dfb,train600,floor|modulo_of|ratio_of,topo_911586a55488,1
1.0,0.0,2,2,2,1.0,"{0: 1, 1: 1}",1.0,1,1,linear,1,1,1,0,0,1,2,0,1,"{1: 1, 0: 1}",{0: 1},0.333333,ttdf_17d073e41e97,train600,decrease_by_percent|nearest_integer,topo_fdeb50f24873,1
1.0,0.0,2,2,2,1.0,"{0: 1, 1: 1}",1.0,1,1,linear,1,1,1,0,0,1,2,0,1,"{1: 1, 0: 1}",{0: 1},0.333333,ttdf_fe94a5e2dc42,train600,divide|nearest_integer,topo_fdeb50f24873,1
2.0,0.25,4,3,3,0.5,"{0: 2, 2: 1, 1: 1}",0.0,2,1,fan_in,2,2,3,1,0,1,4,0,2,"{1: 3, 0: 1}",{0: 3},0.6,ttdf_f523384deaaa,train600,root_extract|whole_number_of|portion_by_rate|whole_number_of,topo_bd3dd51ec1a9,1
2.0,0.333333,3,2,2,0.666667,"{0: 2, 2: 1}",0.0,2,1,fan_in,1,2,2,1,0,1,3,0,2,"{1: 2, 0: 1}",{0: 2},0.4,ttdf_bc033ff3550b,train600,square_value|average_of_two|percentage_value,topo_911586a55488,1
1.0,0.0,6+,6,6,0.333333,"{0: 1, 1: 5}",1.0,1,1,linear,5,1,5,0,0,1,6,0,1,"{1: 5, 0: 1}",{0: 5},0.384615,ttdf_2a8ba9d8e1d3,train600,average_of_two|floor_divide|square_value|product_of_numbers|ratio_of|scale_values,topo_02b29308ce2b,1
1.0,0.0,2,2,2,1.0,"{0: 1, 1: 1}",1.0,1,1,linear,1,1,1,0,0,1,2,0,1,"{1: 1, 0: 1}",{0: 1},0.142857,ttdf_b45a0be1f14a,train600,mean_of_values|square_value,topo_fdeb50f24873,1
2.0,0.25,4,3,3,0.5,"{0: 2, 2: 1, 1: 1}",0.0,2,1,fan_in,2,2,3,1,0,1,4,0,2,"{1: 3, 0: 1}",{0: 3},0.428571,ttdf_bb161cd7a302,train600,fahrenheit_from_celsius|reduce_amount|midpoint_value|compose_reference_code,topo_bd3dd51ec1a9,1
2.0,0.2,5,3,3,0.4,"{0: 2, 1: 2, 2: 1}",0.0,2,1,fan_in,3,2,4,1,0,1,5,0,2,"{1: 4, 0: 1}",{0: 4},0.571429,ttdf_f1edfb73d1e7,train600,meters_from_km|gap_between|whole_minutes_from_seconds|flip_sign|midpoint_value,topo_17d840e0415f,1
3.0,0.142857,6+,3,3,0.285714,"{0: 3, 1: 3, 3: 1}",0.0,3,1,fan_in,4,3,6,1,0,1,7,0,3,"{1: 6, 0: 1}",{0: 6},0.461538,ttdf_9966934901e2,train600,average_of_two|ratio_of|inverse|ratio_of|ceiling|average_of_two|range_of_three,topo_b53a306e6f0b,1
1.0,0.0,6+,6,6,0.333333,"{0: 1, 1: 5}",1.0,1,1,linear,5,1,5,0,0,1,6,0,1,"{1: 5, 0: 1}",{0: 5},0.333333,ttdf_f0084b77cec7,train600,range_of_values|ratio_of|product_of_numbers|quotient_of|sqrt|scale_values,topo_02b29308ce2b,1
1.0,0.0,3,3,3,0.666667,"{0: 1, 1: 2}",1.0,1,1,linear,2,1,2,0,0,1,3,0,1,"{1: 2, 0: 1}",{0: 2},0.166667,ttdf_3a6f2a53f095,train600,range_of_values|sum_two_numbers|scale_values,topo_1c8dbe1830b2,1
3.0,0.125,6+,4,4,0.25,"{0: 3, 1: 4, 3: 1}",0.0,3,1,fan_in,5,3,7,1,0,1,8,0,3,"{1: 7, 0: 1}",{0: 7},0.411765,ttdf_c7e061423748,train600,total_of_pair|gap_between|split_evenly|shrink_by_rate|split_evenly|remaining_after|leftover_after_grouping|total_of_three_parts,topo_5eeac3554b19,1
2.0,0.333333,3,2,2,0.666667,"{0: 2, 2: 1}",0.0,2,1,fan_in,1,2,2,1,0,1,3,0,2,"{1: 2, 0: 1}",{0: 2},0.4,ttdf_bd653f0dc52b,train600,round_down_whole|remaining_after|portion_by_rate,topo_911586a55488,1
1.0,0.0,2,2,2,1.0,"{0: 1, 1: 1}",1.0,1,1,linear,1,1,1,0,0,1,2,0,1,"{1: 1, 0: 1}",{0: 1},0.333333,ttdf_ceecb8410fe0,train600,pairwise_product|self_product,topo_fdeb50f24873,1
1.0,0.0,2,2,2,1.0,"{0: 1, 1: 1}",1.0,1,1,linear,1,1,1,0,0,1,2,0,1,"{1: 1, 0: 1}",{0: 1},0.333333,ttdf_21faa94b557e,train600,round_down_whole|leftover_after_grouping,topo_fdeb50f24873,1
